Theta   Phi   Ki
16.00   47.00   0.0054891400
16.00   50.00   -0.0118736000
16.00   53.00   -0.0249723000
16.00   56.00   -0.0262028000
16.00   59.00   0.0006578850
16.00   62.00   0.0183561000
16.00   65.00   0.0218743000
16.00   68.00   0.0149391000
16.00   71.00   0.0106563000
16.00   74.00   0.0064423400
16.00   77.00   0.0017885500
16.00   80.00   -0.0048633500
16.00   83.00   -0.0081784100
16.00   86.00   -0.0084053900
16.00   89.00   0.0041025500
16.00   92.00   0.0033924600
16.00   95.00   0.0049514500
16.00   98.00   -0.0018582500
16.00   101.00   -0.0075488400
16.00   104.00   -0.0048380300
16.00   107.00   -0.0085171500
16.00   110.00   -0.0151739000
16.00   113.00   -0.0145685000
16.00   116.00   -0.0111958000
16.00   119.00   -0.0054537100
16.00   122.00   -0.0024744400
16.00   125.00   0.0006151450
16.00   128.00   0.0064220000
16.00   131.00   0.0046908400
16.00   134.00   0.0043912700
16.00   137.00   0.0115198000
16.00   140.00   0.0096467300
16.00   143.00   0.0107412000
16.00   146.00   -0.0014029300
16.00   149.00   0.0038340600
16.00   152.00   0.0034029400
16.00   155.00   0.0036606000
16.00   158.00   -0.0025689400
16.00   161.00   0.0036016000
16.00   164.00   -0.0094864800
16.00   167.00   0.0054891700
16.00   170.00   -0.0118735000
16.00   173.00   -0.0249723000
16.00   176.00   -0.0262028000
16.00   179.00   0.0006578880
16.00   182.00   0.0183561000
16.00   185.00   0.0218744000
16.00   188.00   0.0149390000
16.00   191.00   0.0106564000
16.00   194.00   0.0064423300
16.00   197.00   0.0017885700
16.00   200.00   -0.0048632800
16.00   203.00   -0.0081784600
16.00   206.00   -0.0084053800
16.00   209.00   0.0041025200
16.00   212.00   0.0033925600
16.00   215.00   0.0049515400
16.00   218.00   -0.0018582400
16.00   221.00   -0.0075487900
16.00   224.00   -0.0048379900
16.00   227.00   -0.0085171400
16.00   230.00   -0.0151739000
16.00   233.00   -0.0145686000
16.00   236.00   -0.0111958000
16.00   239.00   -0.0054537600
16.00   242.00   -0.0024743900
16.00   245.00   0.0006149320
16.00   248.00   0.0064220800
16.00   251.00   0.0046909300
16.00   254.00   0.0043912100
16.00   257.00   0.0115197000
16.00   260.00   0.0096467400
16.00   263.00   0.0107412000
16.00   266.00   -0.0014028900
16.00   269.00   0.0038341500
16.00   272.00   0.0034028900
16.00   275.00   0.0036607000
16.00   278.00   -0.0025689400
16.00   281.00   0.0036015400
16.00   284.00   -0.0094865500
19.00   47.00   -0.0048520500
19.00   50.00   -0.0055281000
19.00   53.00   -0.0056476100
19.00   56.00   0.0056119000
19.00   59.00   0.0203382000
19.00   62.00   0.0291053000
19.00   65.00   0.0218003000
19.00   68.00   0.0042558700
19.00   71.00   0.0104199000
19.00   74.00   0.0032033300
